
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年01月01日","2025年07月08日","8549","1","8549"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/01/09","メルカリ","4385","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,1699,--,--,"2025/01/14",--
"2025/01/09","メルカリ","4385","東証",信用新規買,"6ヶ月"," 特定 ","--",300,1699,--,--,"2025/01/14",--
"2025/01/09","メルカリ","4385","東証",信用新規買,"6ヶ月"," 特定 ","--",100,1699.5,--,--,"2025/01/14",--
"2025/01/09","ジャパンエンジンコーポレーション","6016","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,4375,--,--,"2025/01/14",--
"2025/01/09","アドバンテスト","6857","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,10103.6,--,--,"2025/01/14",--
"2025/01/09","アドバンテスト","6857","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,9938,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",300,601.5,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,602.6,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,601.4,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","東証",信用新規買,"6ヶ月"," 特定 ","--",200,603,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,602.5,--,--,"2025/01/14",--
"2025/01/09","オンワードホールディングス","8016","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,602.7,--,--,"2025/01/14",--
"2025/01/09","東京エレクトロン","8035","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,27339.8,--,--,"2025/01/14",--
"2025/01/09","東京エレクトロン","8035","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,27067.8,--,--,"2025/01/14",--
"2025/01/09","東京エレクトロン","8035","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,26954.5,--,--,"2025/01/14",--
"2025/01/09","商船三井","9104","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",300,5424.6,--,--,"2025/01/14",--
"2025/01/09","商船三井","9104","東証",信用新規買,"6ヶ月"," 特定 ","--",100,5407,--,--,"2025/01/14",--
"2025/01/09","商船三井","9104","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,5406.9,--,--,"2025/01/14",--
"2025/01/09","商船三井","9104","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,5406.9,--,--,"2025/01/14",--
"2025/01/09","フジクラ","5803","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",100,6332,19,--,"2025/01/14",11981
"2025/01/09","フジクラ","5803","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",100,6332,19,--,"2025/01/14",11981
"2025/01/09","フジクラ","5803","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",100,6329.9,19,--,"2025/01/14",12191
"2025/01/09","フジクラ","5803","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",100,6329.9,19,--,"2025/01/14",12291
"2025/01/09","フジクラ","5803","東証",信用返済買,"6ヶ月"," 特定 ","申告",100,6332,19,--,"2025/01/14",11771
"2025/01/10","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2490,66,--,"2025/01/15",82684
"2025/01/10","セブン＆アイ・ホールディングス","3382","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2451.3,13,--,"2025/01/15",12667
"2025/01/10","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2451.3,13,--,"2025/01/15",12667
"2025/01/10","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2451.5,13,--,"2025/01/15",12687
"2025/01/10","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2451.4,13,--,"2025/01/15",12677
"2025/01/10","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2451.6,13,--,"2025/01/15",12697
"2025/01/10","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,10380,62,--,"2025/01/15",40638
"2025/01/10","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",1000,2324.5,--,--,"2025/01/15",--
"2025/01/10","ジャパンエンジンコーポレーション","6016","東証",信用新規買,"6ヶ月"," 特定 ","--",100,4285,--,--,"2025/01/15",--
"2025/01/10","アドバンテスト","6857","東証",信用新規買,"6ヶ月"," 特定 ","--",100,9973,--,--,"2025/01/15",--
"2025/01/10","キユーソー流通システム","9369","東証",信用新規買,"6ヶ月"," 特定 ","--",300,2079,--,--,"2025/01/15",--
